,SMB_NCS,HML_NCS,WML_NCS
2017-01-31,-0.014429196112331465,0.09353133450478102,-0.025709219263096533
2017-02-28,-0.004469132794313241,0.015399920655401423,0.00809954921354062
2017-03-31,-0.06074595096021203,-0.06321886137215511,0.05485833287445904
2017-04-28,-0.020889799929199798,-0.0034175271561353755,0.018438078169221862
2017-05-31,0.047833949240306,-0.029947148099401827,-0.021280634281673184
2017-06-30,-0.03751026474698217,-0.03642612779485461,-0.024740298162840388
2017-07-31,-0.034152262439585065,-0.008512901213856987,0.015233531911441885
2017-08-31,0.006069528929605185,0.010692153356932178,0.03721659806094566
2017-09-29,-0.0018368375301303728,0.03205943018012422,-0.004268437474765609
2017-10-31,0.019344990242230423,-0.0038683273301668465,0.0011564361293195102
2017-11-30,0.01778346461092803,0.014187114389384893,0.011403182784913708
2017-12-29,-0.005271922248852508,0.02028499360163213,-0.0029038290359995373
2018-01-31,0.04438677934061373,0.03899458176466548,-0.023947159499211272
2018-02-28,-0.025606578932975677,-0.02960324178817036,0.030549446560497174
2018-03-30,-0.026812760919055323,0.004927220485660563,0.01836267011487515
2018-04-30,-0.05273265921440057,0.03933140798129761,0.012303964132743376
2018-05-31,-0.015645491993300793,0.03441821077658285,-0.015488518118828397
2018-06-29,-0.005164665370004359,0.047451503698835246,8.658136767623285e-05
2018-07-31,-0.04184814940777896,-0.013147612771468477,0.006981076200923907
2018-08-31,0.0409613857200186,0.004276649569177931,-0.026980422410085143
2018-09-28,0.047804353631357724,-0.039142395718418405,-0.060280269469418994
2018-10-31,-0.05981010907211414,0.013603103099048108,-0.015849295497982894
2018-11-30,0.003810940989851388,-0.015467929856763304,-0.008425193111385598
2018-12-31,0.03991481706553901,-0.03514596621299118,-0.028482687505957456
2019-01-31,-0.023211314856429993,0.09593535740361642,0.05289831192723293
2019-02-28,-0.0032570893070736975,0.006044412096520045,0.012898955213313378
2019-03-29,-0.06860313378862264,-0.01667782634595777,-0.008185034127799785
2019-04-30,-0.015373121699977205,0.04254592989128181,0.015495128371838066
2019-05-31,-0.02028118016688852,0.026988858525100225,0.02337355352942726
2019-06-28,-0.012667806526002988,0.006752782905506783,0.017169642771061498
2019-07-31,-0.027425034123867268,0.03201833323852397,-0.0019243580916258572
2019-08-30,0.00012392530924965756,0.02419383171204463,0.002654100049749211
2019-09-30,0.07677999463400953,-0.057561532321199954,-0.04574970547787384
