Factor,N,Ideal_IR,Mean_Sample_IR,IR_Decay,IR_Ratio,Mean_Premium,SE,T_Stat,Critical_Breadth
MKT_RF,10,0.3529240066051873,0.3528504629448505,7.354366033679449e-05,0.9997916161582653,0.03305772780191572,0.02832106135322831,1.1672489031964717,
MKT_RF,15,0.3529240066051873,0.43214826903667347,-0.07922426243148617,1.2244796640317914,0.037808548182576535,0.027620639706350095,1.368851286014357,
MKT_RF,20,0.3529240066051873,0.42389475667157356,-0.07097075006638626,1.2010935746453217,0.033042056321950564,0.024970537913114495,1.3232416713216626,
MKT_RF,25,0.3529240066051873,0.4087472970903924,-0.055823290485205124,1.1581736845338892,0.027082290750047158,0.020903056584250585,1.2956139041623376,
MKT_RF,30,0.3529240066051873,0.3964143660739528,-0.043490359468765505,1.1232286799844073,0.020954999164523383,0.015776732386231108,1.3282217541327839,
MKT_RF,35,0.3529240066051873,0.39350820728589353,-0.04058420068070623,1.1149941628258442,0.021414531281797287,0.016910906236583763,1.266314825604717,
MKT_RF,40,0.3529240066051873,0.3629360803744302,-0.010012073769242902,1.0283689224361643,0.02085948241769703,0.018741499742919967,1.1130103088776115,
MKT_RF,45,0.3529240066051873,0.3335152352169458,0.019408771388241486,0.9450058057117268,0.0196914621903896,0.020589061420920592,0.9564040724256163,
MKT_RF,50,0.3529240066051873,0.3458508486928316,0.007073157912355688,0.9799584109327298,0.02018916565849326,0.022032099714157836,0.916352318681623,
SMB,10,-0.1398726496398843,-0.11168439615801659,-0.02818825348186771,0.79847201326034,-0.008293837932421182,0.019311323390625298,-0.429480557321485,
SMB,15,-0.1398726496398843,-0.12066604669938816,-0.019206602940496142,0.8626850710989933,-0.008235558840264185,0.01779759437445699,-0.4627343823547195,
SMB,20,-0.1398726496398843,-0.16570806602302185,0.02583541638313755,1.184706706061931,-0.009935214500159573,0.01636949313549115,-0.6069347668816184,
SMB,25,-0.1398726496398843,-0.16118463317980788,0.021311983539923585,1.1523670538507231,-0.008363134670943254,0.013685132919225757,-0.611110956707931,
SMB,30,-0.1398726496398843,-0.16683295162229006,0.02696030198240576,1.1927489187615854,-0.0069790915698782,0.010466925946566927,-0.6667756708613467,
SMB,35,-0.1398726496398843,-0.1692396876441562,0.0293670380042719,1.209955542272776,-0.00722054666980446,0.010962933733931722,-0.6586327022534049,
SMB,40,-0.1398726496398843,-0.1583447974816218,0.018472147841737507,1.1320640446098351,-0.0069762270276019665,0.011598380771915877,-0.6014828418544496,
SMB,45,-0.1398726496398843,-0.1127600088559808,-0.027112640783903505,0.8061619562244111,-0.004982315673970273,0.012388807569278425,-0.40216264931948276,
SMB,50,-0.1398726496398843,-0.10068002192534312,-0.039192627714541184,0.7197977745081229,-0.004463947585408149,0.013263244088472754,-0.3365652894292898,
HML,10,0.2365213196680669,0.25645857434636743,-0.019937254678300542,1.0842936894918411,0.015845065077481603,0.0146927663625692,1.0784262600028787,
HML,15,0.2365213196680669,0.31070058561448505,-0.07417926594641816,1.313626129139314,0.016666646151585703,0.013984579670531076,1.1917874218777127,
HML,20,0.2365213196680669,0.2772034125515757,-0.040682092883508825,1.1720018006858828,0.013233296850344353,0.012650988263234544,1.046028703449364,
HML,25,0.2365213196680669,0.25697565617883006,-0.02045433651076317,1.0864798849400499,0.010506616544842064,0.01064432161488159,0.9870630487294744,
HML,30,0.2365213196680669,0.26383917100598003,-0.027317851337913146,1.1154984733564437,0.009102624238835458,0.007887649804238275,1.1540350376539714,
HML,35,0.2365213196680669,0.24470539975262726,-0.008184080084560369,1.0346018705461557,0.008359143100830259,0.008808088978034184,0.949030274521123,
HML,40,0.2365213196680669,0.33500163082080836,-0.09848031115274147,1.4163697010102445,0.011517369324313619,0.010153282085901851,1.1343493883919413,
HML,45,0.2365213196680669,0.40574342895038024,-0.16922210928231335,1.7154623926494195,0.013889189430791331,0.011278297455203076,1.2314969955313386,
HML,50,0.2365213196680669,0.5057102457395545,-0.2691889260714876,2.1381169631949724,0.01699367269281272,0.012087897350539986,1.405841909474321,
WML,10,0.2666363233157505,0.3139080977164874,-0.04727177440073693,1.177289327323786,0.015344499849236965,0.008031643334063795,1.9105056351491472,
WML,15,0.2666363233157505,0.24331145309314844,0.023324870222602045,0.912521782731827,0.0100607232860177,0.00804384396870997,1.2507357583206808,
WML,20,0.2666363233157505,0.27872922225772834,-0.012092898941977848,1.0453535317003957,0.01005782458169491,0.007356734550686252,1.3671588273844533,
WML,25,0.2666363233157505,0.2833886387733707,-0.016752315457620237,1.0628283320490515,0.008948510830936347,0.006284860504470533,1.4238201189304223,
WML,30,0.2666363233157505,0.19157730386369842,0.07505901945205207,0.7184966454732904,0.0054196569952762175,0.0049535025847656285,1.0941060194344574,
WML,35,0.2666363233157505,0.2728887450308591,-0.0062524217151085915,1.0234492496646996,0.007231999803758481,0.005096476592609601,1.419019526989607,
WML,40,0.2666363233157505,0.3874830747614624,-0.12084675144571189,1.453226889505993,0.009885370407055078,0.005742856354503986,1.7213333917541254,
WML,45,0.2666363233157505,0.46292787504979305,-0.19629155173404256,1.7361770868014643,0.011285911020798846,0.006319861357933275,1.7857845895039655,
WML,50,0.2666363233157505,0.5308486973707358,-0.2642123740549853,1.9909091558471022,0.01193237343150446,0.007216097240615445,1.6535771392247445,
